PACIFIC COAST HWY_WALNUT AV,33.789858,-118.171987
7TH ST_ATLANTIC AV,33.775355,-118.185042
7TH ST_PACIFIC COAST HWY,33.775387,-118.122914
SOUTH ST_PARAMOUNT BL,33.860173,-118.159958
ANAHEIM ST_REDONDO AV,33.782602,-118.152411
ANAHEIM ST_TEMPLE AV,33.782597,-118.158947
7TH ST_BELLFLOWER BL,33.775248,-118.121193
6TH ST_ATLANTIC AV,33.774145,-118.185047
PACIFIC COAST HWY_7TH ST,33.775387,-118.122914
PACIFIC COAST HWY_CHERRY AV,33.789861,-118.167643
WILLOW ST_EASY AV,33.804427,-118.210009
PALO VERDE AV_STEARNS ST,33.795428,-118.107917
TRAFFIC CIR_PACIFIC COAST HWY,33.788902,-118.140964
CHERRY AV_PACIFIC COAST HWY,33.789861,-118.167643
PACIFIC COAST HWY_ATLANTIC AV,33.789867,-118.185018
7TH ST_OLIVE AV,33.775358,-118.182398
7TH ST_LONG BEACH BL,33.775335,-118.189476
LONG BEACH BL_WILLOW ST,33.804424,-118.189443
STUDEBAKER RD_WILLOW ST,33.803249,-118.099274
7TH ST_REDONDO AV,33.775338,-118.152417
PACIFIC COAST HWY_LONG BEACH BL,33.789852,-118.189507
7TH ST_CHERRY AV,33.775344,-118.167669
PACIFIC COAST HWY_CEDAR AV,33.789861,-118.195099
ATLANTIC AV_MARKET ST,33.854324,-118.185004
PACIFIC COAST HWY_ANAHEIM ST,33.782723,-118.132815
ANAHEIM ST_ORANGE AV,33.782603,-118.176335
DEL AMO BL_CHERRY AV,33.846859,-118.167613
7TH ST_OBISPO AV,33.775340,-118.154575
WARDLOW RD_LONG BEACH BL,33.818979,-118.189257
BELLFLOWER BL_ANAHEIM RD,33.779493,-118.122421
7TH ST_XIMENO AV,33.775330,-118.141552
7TH ST_TERMINO AV,33.775331,-118.145888
DEL AMO BL_LONG BEACH BL,33.846735,-118.193744
ANAHEIM ST_OBISPO AV,33.782605,-118.154580
PACIFIC COAST HWY_HARBOR AV,33.789825,-118.210498
ANAHEIM ST_CHERRY AV,33.782604,-118.167652
WILLOW ST_LONG BEACH BL,33.804424,-118.189443
PACIFIC COAST HWY_JUNIPERO AV,33.789856,-118.163304
LONG BEACH BL_10TH ST,33.778969,-118.189273
BROADWAY_CHERRY,33.767286,-118.167896
ANAHEIM ST_MAGNOLIA AV,33.782601,-118.198034
SANTA FE AV_WILLOW ST,33.804314,-118.215382
LONG BEACH BL_PACIFIC COAST HWY,33.789852,-118.189507
2ND ST_MARINA DR,33.757647,-118.113255
LONG BEACH BL_ANAHEIM ST,33.782605,-118.189258
LONG BEACH BL_SPRING ST,33.811573,-118.189350
PACIFIC COAST HWY_TERMINO AV,33.789843,-118.145883
LAKEWOOD BL_SPRING ST,33.812739,-118.139096
REDONDO AV_ANAHEIM ST,33.782602,-118.152411
SPRING ST_PALO VERDE AV,33.810426,-118.107869
PACIFIC COAST HWY_PINE AV,33.789850,-118.192390
PACIFIC COAST HWY_2ND ST,33.758149,-118.111272
ANAHEIM ST_ALAMITOS AV,33.782608,-118.177967
LAKEWOOD BL_WILLOW ST,33.803251,-118.142788
LONG BEACH BL_20TH ST,33.793480,-118.189263
LONG BEACH BL_WARDLOW RD,33.818979,-118.189257
PACIFIC AV_PACIFIC COAST HWY,33.789847,-118.193724
ANAHEIM ST_PACIFIC AV,33.782594,-118.193733
PACIFIC COAST HWY_LEMON AV,33.789858,-118.178418
ORANGE AV_PACIFIC COAST HWY,33.789854,-118.176289
LONG BEACH BL_MARKET ST,33.854284,-118.196533
ATLANTIC AV_WILLOW ST,33.804328,-118.185023
PALO VERDE AV_WOODRUFF AV,33.797642,-118.108025
ANAHEIM ST_ATLANTIC AV,33.782609,-118.185034
WILLOW ST_ATLANTIC AV,33.804328,-118.185023
ATLANTIC AV_WARDLOW RD,33.818910,-118.185015
CHERRY AV_10TH ST,33.778975,-118.167665
WARDLOW RD_PACIFIC PL,33.819044,-118.195946
